marketid,marketsize,locationid,ageofstore,promotion,week,sales
1,UK,1,4,Tableau Pork BBQ,1,33730
1,UK,1,4,Tableau Pork BBQ,2,35670
1,UK,1,4,Tableau Pork BBQ,3,29030
1,UK,1,4,Tableau Pork BBQ,4,39250
1,UK,2,5,Python Angus,1,27810
1,UK,2,5,Python Angus,2,34670
1,UK,2,5,Python Angus,3,27980
1,UK,2,5,Python Angus,4,27720
1,UK,3,12,Query Blue Cheese,1,44540
1,UK,3,12,Query Blue Cheese,2,37940
1,UK,3,12,Query Blue Cheese,3,45490
1,UK,3,12,Query Blue Cheese,4,34750
1,UK,4,1,Python Angus,1,39280
1,UK,4,1,Python Angus,2,39800
1,UK,4,1,Python Angus,3,24770
1,UK,4,1,Python Angus,4,30980
1,UK,5,10,Python Angus,1,30370
1,UK,5,10,Python Angus,2,24820
1,UK,5,10,Python Angus,3,37470
1,UK,5,10,Python Angus,4,23350
1,UK,6,10,Tableau Pork BBQ,1,32900
1,UK,6,10,Tableau Pork BBQ,2,22180
1,UK,6,10,Tableau Pork BBQ,3,42980
1,UK,6,10,Tableau Pork BBQ,4,26680
1,UK,7,15,Query Blue Cheese,1,42920
1,UK,7,15,Query Blue Cheese,2,42160
1,UK,7,15,Query Blue Cheese,3,51720
1,UK,7,15,Query Blue Cheese,4,36170
1,UK,8,10,Python Angus,1,30080
1,UK,8,10,Python Angus,2,28620
1,UK,8,10,Python Angus,3,25400
1,UK,8,10,Python Angus,4,27260
1,UK,9,6,Query Blue Cheese,1,37410
1,UK,9,6,Query Blue Cheese,2,38640
1,UK,9,6,Query Blue Cheese,3,40900
1,UK,9,6,Query Blue Cheese,4,41110
1,UK,10,5,Python Angus,1,34270
1,UK,10,5,Python Angus,2,29300
1,UK,10,5,Python Angus,3,23930
1,UK,10,5,Python Angus,4,35160
1,UK,11,5,Tableau Pork BBQ,1,33420
1,UK,11,5,Tableau Pork BBQ,2,37930
1,UK,11,5,Tableau Pork BBQ,3,33850
1,UK,11,5,Tableau Pork BBQ,4,40250
1,UK,12,12,Query Blue Cheese,1,35850
1,UK,12,12,Query Blue Cheese,2,36240
1,UK,12,12,Query Blue Cheese,3,41730
1,UK,12,12,Query Blue Cheese,4,37320
1,UK,13,12,Query Blue Cheese,1,50480
1,UK,13,12,Query Blue Cheese,2,36880
1,UK,13,12,Query Blue Cheese,3,35680
1,UK,13,12,Query Blue Cheese,4,46450
2,Spain,101,22,Query Blue Cheese,1,67480
2,Spain,101,22,Query Blue Cheese,2,65570
2,Spain,101,22,Query Blue Cheese,3,68420
2,Spain,101,22,Query Blue Cheese,4,60930
2,Spain,102,8,Tableau Pork BBQ,1,61590
2,Spain,102,8,Tableau Pork BBQ,2,63640
2,Spain,102,8,Tableau Pork BBQ,3,54680
2,Spain,102,8,Tableau Pork BBQ,4,61240
2,Spain,103,22,Tableau Pork BBQ,1,62930
2,Spain,103,22,Tableau Pork BBQ,2,58770
2,Spain,103,22,Tableau Pork BBQ,3,70600
2,Spain,103,22,Tableau Pork BBQ,4,65060
2,Spain,104,19,Tableau Pork BBQ,1,59760
2,Spain,104,19,Tableau Pork BBQ,2,66110
2,Spain,104,19,Tableau Pork BBQ,3,62160
2,Spain,104,19,Tableau Pork BBQ,4,64040
2,Spain,105,8,Tableau Pork BBQ,1,59650
2,Spain,105,8,Tableau Pork BBQ,2,57040
2,Spain,105,8,Tableau Pork BBQ,3,59730
2,Spain,105,8,Tableau Pork BBQ,4,56720
2,Spain,106,5,Tableau Pork BBQ,1,58550
2,Spain,106,5,Tableau Pork BBQ,2,62190
2,Spain,106,5,Tableau Pork BBQ,3,53140
2,Spain,106,5,Tableau Pork BBQ,4,62270
3,USA,201,4,Tableau Pork BBQ,1,86140
3,USA,201,4,Tableau Pork BBQ,2,82560
3,USA,201,4,Tableau Pork BBQ,3,79360
3,USA,201,4,Tableau Pork BBQ,4,77170
3,USA,202,8,Query Blue Cheese,1,88730
3,USA,202,8,Query Blue Cheese,2,85210
3,USA,202,8,Query Blue Cheese,3,81550
3,USA,202,8,Query Blue Cheese,4,94170
3,USA,203,12,Tableau Pork BBQ,1,89700
3,USA,203,12,Tableau Pork BBQ,2,78430
3,USA,203,12,Tableau Pork BBQ,3,84050
3,USA,203,12,Tableau Pork BBQ,4,81180
3,USA,204,1,Python Angus,1,87430
3,USA,204,1,Python Angus,2,81790
3,USA,204,1,Python Angus,3,88120
3,USA,204,1,Python Angus,4,75290
3,USA,205,19,Tableau Pork BBQ,1,83020
3,USA,205,19,Tableau Pork BBQ,2,90300
3,USA,205,19,Tableau Pork BBQ,3,85180
3,USA,205,19,Tableau Pork BBQ,4,89770
3,USA,206,11,Tableau Pork BBQ,1,82640
3,USA,206,11,Tableau Pork BBQ,2,82890
3,USA,206,11,Tableau Pork BBQ,3,82130
3,USA,206,11,Tableau Pork BBQ,4,88910
3,USA,207,1,Tableau Pork BBQ,1,87700
3,USA,207,1,Tableau Pork BBQ,2,81160
3,USA,207,1,Tableau Pork BBQ,3,81580
3,USA,207,1,Tableau Pork BBQ,4,94210
3,USA,208,1,Tableau Pork BBQ,1,96480
3,USA,208,1,Tableau Pork BBQ,2,84130
3,USA,208,1,Tableau Pork BBQ,3,91980
3,USA,208,1,Tableau Pork BBQ,4,81720
3,USA,209,1,Query Blue Cheese,1,93710
3,USA,209,1,Query Blue Cheese,2,96010
3,USA,209,1,Query Blue Cheese,3,93030
3,USA,209,1,Query Blue Cheese,4,97610
3,USA,210,19,Query Blue Cheese,1,85110
3,USA,210,19,Query Blue Cheese,2,88070
3,USA,210,19,Query Blue Cheese,3,94430
3,USA,210,19,Query Blue Cheese,4,89440
3,USA,211,13,Python Angus,1,88640
3,USA,211,13,Python Angus,2,81370
3,USA,211,13,Python Angus,3,82140
3,USA,211,13,Python Angus,4,79640
3,USA,212,3,Tableau Pork BBQ,1,84340
3,USA,212,3,Tableau Pork BBQ,2,87900
3,USA,212,3,Tableau Pork BBQ,3,76120
3,USA,212,3,Tableau Pork BBQ,4,82720
3,USA,213,4,Python Angus,1,73220
3,USA,213,4,Python Angus,2,75880
3,USA,213,4,Python Angus,3,78010
3,USA,213,4,Python Angus,4,80170
3,USA,214,5,Query Blue Cheese,1,91600
3,USA,214,5,Query Blue Cheese,2,80610
3,USA,214,5,Query Blue Cheese,3,93860
3,USA,214,5,Query Blue Cheese,4,83430
3,USA,215,7,Python Angus,1,82650
3,USA,215,7,Python Angus,2,77390
3,USA,215,7,Python Angus,3,80830
3,USA,215,7,Python Angus,4,80750
3,USA,216,4,Tableau Pork BBQ,1,94890
3,USA,216,4,Tableau Pork BBQ,2,74750
3,USA,216,4,Tableau Pork BBQ,3,93630
3,USA,216,4,Tableau Pork BBQ,4,80820
3,USA,217,5,Tableau Pork BBQ,1,91610
3,USA,217,5,Tableau Pork BBQ,2,79020
3,USA,217,5,Tableau Pork BBQ,3,86110
3,USA,217,5,Tableau Pork BBQ,4,82880
3,USA,218,2,Query Blue Cheese,1,99650
3,USA,218,2,Query Blue Cheese,2,88640
3,USA,218,2,Query Blue Cheese,3,86960
3,USA,218,2,Query Blue Cheese,4,89250
3,USA,219,7,Python Angus,1,66220
3,USA,219,7,Python Angus,2,82860
3,USA,219,7,Python Angus,3,83400
3,USA,219,7,Python Angus,4,75610
3,USA,220,3,Query Blue Cheese,1,87080
3,USA,220,3,Query Blue Cheese,2,89320
3,USA,220,3,Query Blue Cheese,3,99120
3,USA,220,3,Query Blue Cheese,4,85850
3,USA,221,23,Python Angus,1,79530
3,USA,221,23,Python Angus,2,74030
3,USA,221,23,Python Angus,3,78530
3,USA,221,23,Python Angus,4,76710
3,USA,222,6,Query Blue Cheese,1,93320
3,USA,222,6,Query Blue Cheese,2,85710
3,USA,222,6,Query Blue Cheese,3,77360
3,USA,222,6,Query Blue Cheese,4,91290
4,Spain,301,1,Python Angus,1,49610
4,Spain,301,1,Python Angus,2,43690
4,Spain,301,1,Python Angus,3,54490
4,Spain,301,1,Python Angus,4,61250
4,Spain,302,7,Tableau Pork BBQ,1,51470
4,Spain,302,7,Tableau Pork BBQ,2,53470
4,Spain,302,7,Tableau Pork BBQ,3,46830
4,Spain,302,7,Tableau Pork BBQ,4,56700
4,Spain,303,9,Query Blue Cheese,1,55940
4,Spain,303,9,Query Blue Cheese,2,61360
4,Spain,303,9,Query Blue Cheese,3,56190
4,Spain,303,9,Query Blue Cheese,4,62060
4,Spain,304,3,Query Blue Cheese,1,54010
4,Spain,304,3,Query Blue Cheese,2,63480
4,Spain,304,3,Query Blue Cheese,3,61960
4,Spain,304,3,Query Blue Cheese,4,55300
4,Spain,305,2,Python Angus,1,47890
4,Spain,305,2,Python Angus,2,52370
4,Spain,305,2,Python Angus,3,49110
4,Spain,305,2,Python Angus,4,52880
4,Spain,306,13,Query Blue Cheese,1,53790
4,Spain,306,13,Query Blue Cheese,2,66960
4,Spain,306,13,Query Blue Cheese,3,57100
4,Spain,306,13,Query Blue Cheese,4,65120
4,Spain,307,7,Python Angus,1,46980
4,Spain,307,7,Python Angus,2,53410
4,Spain,307,7,Python Angus,3,36170
4,Spain,307,7,Python Angus,4,55980
4,Spain,308,28,Python Angus,1,51870
4,Spain,308,28,Python Angus,2,58010
4,Spain,308,28,Python Angus,3,47930
4,Spain,308,28,Python Angus,4,51330
4,Spain,309,8,Query Blue Cheese,1,62160
4,Spain,309,8,Query Blue Cheese,2,54060
4,Spain,309,8,Query Blue Cheese,3,51720
4,Spain,309,8,Query Blue Cheese,4,59640
5,UK,401,5,Tableau Pork BBQ,1,52230
5,UK,401,5,Tableau Pork BBQ,2,51680
5,UK,401,5,Tableau Pork BBQ,3,46220
5,UK,401,5,Tableau Pork BBQ,4,46030
5,UK,402,25,Python Angus,1,40400
5,UK,402,25,Python Angus,2,50280
5,UK,402,25,Python Angus,3,52720
5,UK,402,25,Python Angus,4,38300
5,UK,403,19,Python Angus,1,51790
5,UK,403,19,Python Angus,2,42560
5,UK,403,19,Python Angus,3,44640
5,UK,403,19,Python Angus,4,45110
5,UK,404,8,Python Angus,1,42150
5,UK,404,8,Python Angus,2,42590
5,UK,404,8,Python Angus,3,49560
5,UK,404,8,Python Angus,4,39250
5,UK,405,4,Python Angus,1,48180
5,UK,405,4,Python Angus,2,48250
5,UK,405,4,Python Angus,3,46420
5,UK,405,4,Python Angus,4,43770
5,UK,406,3,Python Angus,1,45300
5,UK,406,3,Python Angus,2,48840
5,UK,406,3,Python Angus,3,45080
5,UK,406,3,Python Angus,4,44670
5,UK,407,6,Tableau Pork BBQ,1,45560
5,UK,407,6,Tableau Pork BBQ,2,55190
5,UK,407,6,Tableau Pork BBQ,3,37840
5,UK,407,6,Tableau Pork BBQ,4,50070
5,UK,408,9,Python Angus,1,47330
5,UK,408,9,Python Angus,2,45420
5,UK,408,9,Python Angus,3,44310
5,UK,408,9,Python Angus,4,40260
5,UK,409,14,Python Angus,1,43270
5,UK,409,14,Python Angus,2,48330
5,UK,409,14,Python Angus,3,44140
5,UK,409,14,Python Angus,4,51500
5,UK,410,11,Query Blue Cheese,1,49950
5,UK,410,11,Query Blue Cheese,2,55110
5,UK,410,11,Query Blue Cheese,3,55280
5,UK,410,11,Query Blue Cheese,4,54700
5,UK,411,23,Tableau Pork BBQ,1,50110
5,UK,411,23,Tableau Pork BBQ,2,55590
5,UK,411,23,Tableau Pork BBQ,3,54370
5,UK,411,23,Tableau Pork BBQ,4,51910
5,UK,412,6,Query Blue Cheese,1,59340
5,UK,412,6,Query Blue Cheese,2,62630
5,UK,412,6,Query Blue Cheese,3,49080
5,UK,412,6,Query Blue Cheese,4,58040
5,UK,413,1,Python Angus,1,46260
5,UK,413,1,Python Angus,2,47710
5,UK,413,1,Python Angus,3,54090
5,UK,413,1,Python Angus,4,46890
5,UK,414,1,Tableau Pork BBQ,1,57370
5,UK,414,1,Tableau Pork BBQ,2,55530
5,UK,414,1,Tableau Pork BBQ,3,51160
5,UK,414,1,Tableau Pork BBQ,4,57060
5,UK,415,12,Tableau Pork BBQ,1,50590
5,UK,415,12,Tableau Pork BBQ,2,48640
5,UK,415,12,Tableau Pork BBQ,3,50550
5,UK,415,12,Tableau Pork BBQ,4,49080
6,UK,501,6,Tableau Pork BBQ,1,24750
6,UK,501,6,Tableau Pork BBQ,2,41470
6,UK,501,6,Tableau Pork BBQ,3,35100
6,UK,501,6,Tableau Pork BBQ,4,34330
6,UK,502,19,Python Angus,1,31940
6,UK,502,19,Python Angus,2,29640
6,UK,502,19,Python Angus,3,33640
6,UK,502,19,Python Angus,4,36050
6,UK,503,2,Python Angus,1,36700
6,UK,503,2,Python Angus,2,41530
6,UK,503,2,Python Angus,3,27710
6,UK,503,2,Python Angus,4,37200
6,UK,504,4,Query Blue Cheese,1,42160
6,UK,504,4,Query Blue Cheese,2,36800
6,UK,504,4,Query Blue Cheese,3,46980
6,UK,504,4,Query Blue Cheese,4,47350
6,UK,505,1,Python Angus,1,32210
6,UK,505,1,Python Angus,2,38410
6,UK,505,1,Python Angus,3,37900
6,UK,505,1,Python Angus,4,44840
6,UK,506,12,Python Angus,1,37450
6,UK,506,12,Python Angus,2,35460
6,UK,506,12,Python Angus,3,31850
6,UK,506,12,Python Angus,4,19260
6,UK,507,5,Python Angus,1,38650
6,UK,507,5,Python Angus,2,17340
6,UK,507,5,Python Angus,3,33140
6,UK,507,5,Python Angus,4,23440
6,UK,508,5,Tableau Pork BBQ,1,37170
6,UK,508,5,Tableau Pork BBQ,2,30520
6,UK,508,5,Tableau Pork BBQ,3,32509
6,UK,508,5,Tableau Pork BBQ,4,29120
6,UK,509,8,Query Blue Cheese,1,40460
6,UK,509,8,Query Blue Cheese,2,41250
6,UK,509,8,Query Blue Cheese,3,32049
6,UK,509,8,Query Blue Cheese,4,47500
6,UK,510,7,Python Angus,1,32770
6,UK,510,7,Python Angus,2,30260
6,UK,510,7,Python Angus,3,27550
6,UK,510,7,Python Angus,4,27370
6,UK,511,24,Tableau Pork BBQ,1,47480
6,UK,511,24,Tableau Pork BBQ,2,39410
6,UK,511,24,Tableau Pork BBQ,3,43290
6,UK,511,24,Tableau Pork BBQ,4,42590
6,UK,512,4,Query Blue Cheese,1,35300
6,UK,512,4,Query Blue Cheese,2,35860
6,UK,512,4,Query Blue Cheese,3,49300
6,UK,512,4,Query Blue Cheese,4,30810
6,UK,513,7,Query Blue Cheese,1,44980
6,UK,513,7,Query Blue Cheese,2,41710
6,UK,513,7,Query Blue Cheese,3,41100
6,UK,513,7,Query Blue Cheese,4,40970
6,UK,514,6,Query Blue Cheese,1,41100
6,UK,514,6,Query Blue Cheese,2,41560
6,UK,514,6,Query Blue Cheese,3,36390
6,UK,514,6,Query Blue Cheese,4,39670
6,UK,515,8,Tableau Pork BBQ,1,34460
6,UK,515,8,Tableau Pork BBQ,2,40130
6,UK,515,8,Tableau Pork BBQ,3,32180
6,UK,515,8,Tableau Pork BBQ,4,43730
7,UK,601,7,Tableau Pork BBQ,1,49010
7,UK,601,7,Tableau Pork BBQ,2,46290
7,UK,601,7,Tableau Pork BBQ,3,37140
7,UK,601,7,Tableau Pork BBQ,4,42820
7,UK,602,4,Tableau Pork BBQ,1,47220
7,UK,602,4,Tableau Pork BBQ,2,35240
7,UK,602,4,Tableau Pork BBQ,3,47220
7,UK,602,4,Tableau Pork BBQ,4,43150
7,UK,603,4,Python Angus,1,40710
7,UK,603,4,Python Angus,2,38260
7,UK,603,4,Python Angus,3,41440
7,UK,603,4,Python Angus,4,25700
7,UK,604,11,Tableau Pork BBQ,1,40290
7,UK,604,11,Tableau Pork BBQ,2,48350
7,UK,604,11,Tableau Pork BBQ,3,43260
7,UK,604,11,Tableau Pork BBQ,4,44200
7,UK,605,8,Tableau Pork BBQ,1,46140
7,UK,605,8,Tableau Pork BBQ,2,41120
7,UK,605,8,Tableau Pork BBQ,3,45030
7,UK,605,8,Tableau Pork BBQ,4,38850
7,UK,606,8,Tableau Pork BBQ,1,41960
7,UK,606,8,Tableau Pork BBQ,2,42270
7,UK,606,8,Tableau Pork BBQ,3,38510
7,UK,606,8,Tableau Pork BBQ,4,43510
7,UK,607,3,Python Angus,1,49390
7,UK,607,3,Python Angus,2,40250
7,UK,607,3,Python Angus,3,42460
7,UK,607,3,Python Angus,4,31620
7,UK,608,18,Query Blue Cheese,1,53380
7,UK,608,18,Query Blue Cheese,2,55310
7,UK,608,18,Query Blue Cheese,3,56100
7,UK,608,18,Query Blue Cheese,4,43240
7,UK,609,9,Query Blue Cheese,1,48180
7,UK,609,9,Query Blue Cheese,2,43110
7,UK,609,9,Query Blue Cheese,3,43780
7,UK,609,9,Query Blue Cheese,4,56900
7,UK,610,4,Query Blue Cheese,1,53530
7,UK,610,4,Query Blue Cheese,2,47920
7,UK,610,4,Query Blue Cheese,3,56180
7,UK,610,4,Query Blue Cheese,4,46660
7,UK,611,11,Tableau Pork BBQ,1,40430
7,UK,611,11,Tableau Pork BBQ,2,51150
7,UK,611,11,Tableau Pork BBQ,3,42500
7,UK,611,11,Tableau Pork BBQ,4,52760
7,UK,612,1,Tableau Pork BBQ,1,47630
7,UK,612,1,Tableau Pork BBQ,2,52210
7,UK,612,1,Tableau Pork BBQ,3,40170
7,UK,612,1,Tableau Pork BBQ,4,48360
7,UK,613,18,Query Blue Cheese,1,42760
7,UK,613,18,Query Blue Cheese,2,50520
